/usr/bin/gcc -std=gnu99 -Wall -fPIC -pthread -O2 -c *.c
/usr/bin/gcc -shared -Wl,-soname,libGSDDict.so.1 -o libGSDDict.so.1.0 *.o
ln -sf libGSDDict.so.1.0 libGSDDict.so.1
ln -sd libGSDDict.so.1.0 libGSDDict.so
/usr/bin/gcc -std=gnu99 -Wall -fPIC -pthread -O2 -I. -L. test/performance.c -lGSDDict -lpthread -lrt -operformance.run
LD_LIBRARY_PATH="." ./performance.run
Type, Max Epochs, Threads, Slots, Max Imbalance, Operations, Time, Rebalanced, Used Epochs
INSERT, 16, 8, 128, 128, 200000, 2:203664365, 128, 9
LOOKUP, 16, 8, 128, 128, 200000, 0:377285802, 128, 9
INSERT, 16, 8, 128, 256, 200000, 11:784321675, 10889, 16
LOOKUP, 16, 8, 128, 256, 200000, 0:218758552, 10889, 16
INSERT, 16, 8, 128, 512, 200000, 11:601939042, 10639, 16
LOOKUP, 16, 8, 128, 512, 200000, 0:215955512, 10639, 16
INSERT, 16, 8, 256, 8, 200000, 2:826483301, 3348, 16
LOOKUP, 16, 8, 256, 8, 200000, 0:217073703, 3348, 16
INSERT, 16, 8, 256, 16, 200000, 2:239300456, 1630, 16
LOOKUP, 16, 8, 256, 16, 200000, 0:226113056, 1630, 16
INSERT, 16, 8, 256, 32, 200000, 2:65202667, 748, 16
LOOKUP, 16, 8, 256, 32, 200000, 0:233941846, 748, 16
INSERT, 16, 8, 256, 64, 200000, 2:10615420, 256, 12
LOOKUP, 16, 8, 256, 64, 200000, 0:278377927, 256, 12
INSERT, 16, 8, 256, 128, 200000, 2:580362036, 256, 9
LOOKUP, 16, 8, 256, 128, 200000, 0:319772202, 256, 9
INSERT, 16, 8, 256, 256, 200000, 6:145721408, 11024, 16
LOOKUP, 16, 8, 256, 256, 200000, 0:213921248, 11024, 16
INSERT, 16, 8, 256, 512, 200000, 5:819158016, 10464, 16
LOOKUP, 16, 8, 256, 512, 200000, 0:215054521, 10464, 16
INSERT, 16, 8, 512, 8, 200000, 2:420390462, 4248, 16
LOOKUP, 16, 8, 512, 8, 200000, 0:229627051, 4248, 16
INSERT, 16, 8, 512, 16, 200000, 1:925728674, 1721, 12
LOOKUP, 16, 8, 512, 16, 200000, 0:240703474, 1721, 12
INSERT, 16, 8, 512, 32, 200000, 1:779814710, 512, 16
LOOKUP, 16, 8, 512, 32, 200000, 0:286767266, 512, 16
INSERT, 16, 8, 512, 64, 200000, 1:861025921, 0, 2
LOOKUP, 16, 8, 512, 64, 200000, 0:668344401, 0, 2
INSERT, 16, 8, 512, 128, 200000, 1:863662381, 0, 2
LOOKUP, 16, 8, 512, 128, 200000, 0:646319567, 0, 2
INSERT, 16, 8, 512, 256, 200000, 4:88241560, 12646, 16
LOOKUP, 16, 8, 512, 256, 200000, 0:216111777, 12646, 16
INSERT, 16, 8, 512, 512, 200000, 3:969691834, 14866, 16
LOOKUP, 16, 8, 512, 512, 200000, 0:217747768, 14866, 16
INSERT, 32, 1, 8, 8, 200000, 196:144331034, 22208, 2
LOOKUP, 32, 1, 8, 8, 200000, 0:86501862, 22208, 2
INSERT, 32, 1, 8, 16, 200000, 104:326215283, 11752, 2
LOOKUP, 32, 1, 8, 16, 200000, 0:87355290, 11752, 2
INSERT, 32, 1, 8, 32, 200000, 56:432651954, 6056, 2
LOOKUP, 32, 1, 8, 32, 200000, 0:91253333, 6056, 2
INSERT, 32, 1, 8, 64, 200000, 28:377896237, 3072, 2
LOOKUP, 32, 1, 8, 64, 200000, 0:86341645, 3072, 2
INSERT, 32, 1, 8, 128, 200000, 15:377603990, 1544, 2
LOOKUP, 32, 1, 8, 128, 200000, 0:87548475, 1544, 2
INSERT, 32, 1, 8, 256, 200000, 443:305823764, 49992, 2
LOOKUP, 32, 1, 8, 256, 200000, 0:86293758, 49992, 2
INSERT, 32, 1, 8, 512, 200000, 451:413536221, 49992, 2
LOOKUP, 32, 1, 8, 512, 200000, 0:91534873, 49992, 2
INSERT, 32, 1, 16, 8, 200000, 92:92193311, 22192, 2
LOOKUP, 32, 1, 16, 8, 200000, 0:91453025, 22192, 2
INSERT, 32, 1, 16, 16, 200000, 51:168459754, 11744, 2
LOOKUP, 32, 1, 16, 16, 200000, 0:98305346, 11744, 2
INSERT, 32, 1, 16, 32, 200000, 26:950186018, 6048, 2
LOOKUP, 32, 1, 16, 32, 200000, 0:94614802, 6048, 2
INSERT, 32, 1, 16, 64, 200000, 14:592835329, 3072, 2
LOOKUP, 32, 1, 16, 64, 200000, 0:92711178, 3072, 2
INSERT, 32, 1, 16, 128, 200000, 8:587187966, 1536, 2
LOOKUP, 32, 1, 16, 128, 200000, 0:99648089, 1536, 2
INSERT, 32, 1, 16, 256, 200000, 212:669466583, 49984, 2
LOOKUP, 32, 1, 16, 256, 200000, 0:97883037, 49984, 2
INSERT, 32, 1, 16, 512, 200000, 212:913129667, 49984, 2
LOOKUP, 32, 1, 16, 512, 200000, 0:98348265, 49984, 2
INSERT, 32, 1, 32, 8, 200000, 43:394534045, 22176, 2
LOOKUP, 32, 1, 32, 8, 200000, 0:112781610, 22176, 2
INSERT, 32, 1, 32, 16, 200000, 24:749868470, 11712, 2
LOOKUP, 32, 1, 32, 16, 200000, 0:108447160, 11712, 2
INSERT, 32, 1, 32, 32, 200000, 13:934716927, 6048, 2
LOOKUP, 32, 1, 32, 32, 200000, 0:103332844, 6048, 2
INSERT, 32, 1, 32, 64, 200000, 7:950002097, 3040, 2
LOOKUP, 32, 1, 32, 64, 200000, 0:108820910, 3040, 2
INSERT, 32, 1, 32, 128, 200000, 4:862970989, 1536, 2
LOOKUP, 32, 1, 32, 128, 200000, 0:96551953, 1536, 2
INSERT, 32, 1, 32, 256, 200000, 96:489537849, 49952, 2
LOOKUP, 32, 1, 32, 256, 200000, 0:116932972, 49952, 2
INSERT, 32, 1, 32, 512, 200000, 95:691329481, 49952, 2
LOOKUP, 32, 1, 32, 512, 200000, 0:113142418, 49952, 2
INSERT, 32, 1, 64, 8, 200000, 23:847597620, 22144, 2
LOOKUP, 32, 1, 64, 8, 200000, 0:126184333, 22144, 2
INSERT, 32, 1, 64, 16, 200000, 13:527590119, 11712, 2
LOOKUP, 32, 1, 64, 16, 200000, 0:117034103, 11712, 2
INSERT, 32, 1, 64, 32, 200000, 7:837426127, 6016, 2
LOOKUP, 32, 1, 64, 32, 200000, 0:110038553, 6016, 2
INSERT, 32, 1, 64, 64, 200000, 4:368593261, 3008, 2
LOOKUP, 32, 1, 64, 64, 200000, 0:111482192, 3008, 2
INSERT, 32, 1, 64, 128, 200000, 2:971196235, 1536, 2
LOOKUP, 32, 1, 64, 128, 200000, 0:108425968, 1536, 2
INSERT, 32, 1, 64, 256, 200000, 51:330126376, 49920, 2
LOOKUP, 32, 1, 64, 256, 200000, 0:133136527, 49920, 2
INSERT, 32, 1, 64, 512, 200000, 51:327863940, 49920, 2
LOOKUP, 32, 1, 64, 512, 200000, 0:128248895, 49920, 2
INSERT, 32, 1, 128, 8, 200000, 13:93516882, 22016, 2
LOOKUP, 32, 1, 128, 8, 200000, 0:124756504, 22016, 2
INSERT, 32, 1, 128, 16, 200000, 7:477974577, 11648, 2
LOOKUP, 32, 1, 128, 16, 200000, 0:125347018, 11648, 2
INSERT, 32, 1, 128, 32, 200000, 4:323025771, 6016, 2
LOOKUP, 32, 1, 128, 32, 200000, 0:117352355, 6016, 2
INSERT, 32, 1, 128, 64, 200000, 2:581029597, 2944, 2
LOOKUP, 32, 1, 128, 64, 200000, 0:121728355, 2944, 2
INSERT, 32, 1, 128, 128, 200000, 2:469381623, 1536, 2
LOOKUP, 32, 1, 128, 128, 200000, 0:133899176, 1536, 2
INSERT, 32, 1, 128, 256, 200000, 27:130335745, 49856, 2
LOOKUP, 32, 1, 128, 256, 200000, 0:139546804, 49856, 2
INSERT, 32, 1, 128, 512, 200000, 26:963829153, 49856, 2
LOOKUP, 32, 1, 128, 512, 200000, 0:132832798, 49856, 2
INSERT, 32, 1, 256, 8, 200000, 7:55979852, 22016, 2
LOOKUP, 32, 1, 256, 8, 200000, 0:131275799, 22016, 2
INSERT, 32, 1, 256, 16, 200000, 4:118092034, 11520, 2
LOOKUP, 32, 1, 256, 16, 200000, 0:124627362, 11520, 2
INSERT, 32, 1, 256, 32, 200000, 2:530878206, 5888, 2
LOOKUP, 32, 1, 256, 32, 200000, 0:122587701, 5888, 2
INSERT, 32, 1, 256, 64, 200000, 1:865107005, 2816, 2
LOOKUP, 32, 1, 256, 64, 200000, 0:139159037, 2816, 2
INSERT, 32, 1, 256, 128, 200000, 2:89227782, 1280, 2
LOOKUP, 32, 1, 256, 128, 200000, 0:233854965, 1280, 2
INSERT, 32, 1, 256, 256, 200000, 14:203480220, 49664, 2
LOOKUP, 32, 1, 256, 256, 200000, 0:132896533, 49664, 2
INSERT, 32, 1, 256, 512, 200000, 14:219580921, 49664, 2
LOOKUP, 32, 1, 256, 512, 200000, 0:122870173, 49664, 2
INSERT, 32, 1, 512, 8, 200000, 3:488850561, 21510, 2
LOOKUP, 32, 1, 512, 8, 200000, 0:136895153, 21510, 2
INSERT, 32, 1, 512, 16, 200000, 2:394348051, 11264, 2
LOOKUP, 32, 1, 512, 16, 200000, 0:136688933, 11264, 2
INSERT, 32, 1, 512, 32, 200000, 1:746120977, 5632, 2
LOOKUP, 32, 1, 512, 32, 200000, 0:134159762, 5632, 2
INSERT, 32, 1, 512, 64, 200000, 1:573557300, 2560, 2
LOOKUP, 32, 1, 512, 64, 200000, 0:185255282, 2560, 2
INSERT, 32, 1, 512, 128, 200000, 1:989605621, 1024, 2
LOOKUP, 32, 1, 512, 128, 200000, 0:440152335, 1024, 2
INSERT, 32, 1, 512, 256, 200000, 6:690294984, 49425, 2
LOOKUP, 32, 1, 512, 256, 200000, 0:142962127, 49425, 2
INSERT, 32, 1, 512, 512, 200000, 7:115842503, 49425, 2
LOOKUP, 32, 1, 512, 512, 200000, 0:134537913, 49425, 2
INSERT, 32, 2, 8, 8, 200000, 218:353514941, 11640, 32
LOOKUP, 32, 2, 8, 8, 200000, 0:154123934, 11640, 32
INSERT, 32, 2, 8, 16, 200000, 114:273129109, 6081, 32
LOOKUP, 32, 2, 8, 16, 200000, 0:172125263, 6081, 32
INSERT, 32, 2, 8, 32, 200000, 59:63476316, 3077, 32
LOOKUP, 32, 2, 8, 32, 200000, 0:166662630, 3077, 32
INSERT, 32, 2, 8, 64, 200000, 30:376800134, 1539, 32
LOOKUP, 32, 2, 8, 64, 200000, 0:161969053, 1539, 32
INSERT, 32, 2, 8, 128, 200000, 15:348553099, 769, 9
LOOKUP, 32, 2, 8, 128, 200000, 0:147094238, 769, 9
INSERT, 32, 2, 8, 256, 200000, 500:183956940, 28168, 32
LOOKUP, 32, 2, 8, 256, 200000, 0:169061430, 28168, 32
INSERT, 32, 2, 8, 512, 200000, 494:772667739, 28043, 32
LOOKUP, 32, 2, 8, 512, 200000, 0:151086939, 28043, 32
INSERT, 32, 2, 16, 8, 200000, 108:447958275, 11994, 32
LOOKUP, 32, 2, 16, 8, 200000, 0:157927714, 11994, 32
INSERT, 32, 2, 16, 16, 200000, 58:572865019, 6322, 32
LOOKUP, 32, 2, 16, 16, 200000, 0:155850143, 6322, 32
INSERT, 32, 2, 16, 32, 200000, 29:772124963, 3128, 9
LOOKUP, 32, 2, 16, 32, 200000, 0:152944775, 3128, 9
INSERT, 32, 2, 16, 64, 200000, 15:548447418, 1553, 17
LOOKUP, 32, 2, 16, 64, 200000, 0:165565241, 1553, 17
INSERT, 32, 2, 16, 128, 200000, 9:8999873, 784, 9
LOOKUP, 32, 2, 16, 128, 200000, 0:176297325, 784, 9
INSERT, 32, 2, 16, 256, 200000, 248:885146563, 28153, 32
LOOKUP, 32, 2, 16, 256, 200000, 0:162084367, 28153, 32
INSERT, 32, 2, 16, 512, 200000, 247:84313009, 28240, 32
LOOKUP, 32, 2, 16, 512, 200000, 0:168099232, 28240, 32
INSERT, 32, 2, 32, 8, 200000, 52:764197648, 12029, 32
LOOKUP, 32, 2, 32, 8, 200000, 0:174933633, 12029, 32
INSERT, 32, 2, 32, 16, 200000, 28:368176562, 6329, 32
LOOKUP, 32, 2, 32, 16, 200000, 0:170794849, 6329, 32
INSERT, 32, 2, 32, 32, 200000, 15:403412066, 3194, 17
LOOKUP, 32, 2, 32, 32, 200000, 0:170615134, 3194, 17
INSERT, 32, 2, 32, 64, 200000, 8:328837376, 1567, 6
LOOKUP, 32, 2, 32, 64, 200000, 0:165300794, 1567, 6
INSERT, 32, 2, 32, 128, 200000, 5:249838167, 767, 17
LOOKUP, 32, 2, 32, 128, 200000, 0:155600037, 767, 17
INSERT, 32, 2, 32, 256, 200000, 120:419427276, 27743, 32
LOOKUP, 32, 2, 32, 256, 200000, 0:174800501, 27743, 32
INSERT, 32, 2, 32, 512, 200000, 120:842601554, 27736, 32
LOOKUP, 32, 2, 32, 512, 200000, 0:175514862, 27736, 32
INSERT, 32, 2, 64, 8, 200000, 24:127848309, 11758, 11
LOOKUP, 32, 2, 64, 8, 200000, 0:178634373, 11758, 11
INSERT, 32, 2, 64, 16, 200000, 13:230177993, 6195, 30
LOOKUP, 32, 2, 64, 16, 200000, 0:174091180, 6195, 30
INSERT, 32, 2, 64, 32, 200000, 8:46167714, 3264, 7
LOOKUP, 32, 2, 64, 32, 200000, 0:163017086, 3264, 7
INSERT, 32, 2, 64, 64, 200000, 4:983641028, 1600, 18
LOOKUP, 32, 2, 64, 64, 200000, 0:160207413, 1600, 18
INSERT, 32, 2, 64, 128, 200000, 3:658201258, 768, 5
LOOKUP, 32, 2, 64, 128, 200000, 0:161513081, 768, 5
INSERT, 32, 2, 64, 256, 200000, 55:916924132, 27545, 32
LOOKUP, 32, 2, 64, 256, 200000, 0:168546619, 27545, 32
INSERT, 32, 2, 64, 512, 200000, 56:242060866, 27522, 32
LOOKUP, 32, 2, 64, 512, 200000, 0:197871119, 27522, 32
INSERT, 32, 2, 128, 8, 200000, 11:258929614, 11847, 32
LOOKUP, 32, 2, 128, 8, 200000, 0:174215536, 11847, 32
INSERT, 32, 2, 128, 16, 200000, 6:629894591, 6270, 17
LOOKUP, 32, 2, 128, 16, 200000, 0:170124108, 6270, 17
INSERT, 32, 2, 128, 32, 200000, 4:345452659, 3200, 12
LOOKUP, 32, 2, 128, 32, 200000, 0:180134955, 3200, 12
INSERT, 32, 2, 128, 64, 200000, 3:391327517, 1536, 4
LOOKUP, 32, 2, 128, 64, 200000, 0:158825509, 1536, 4
INSERT, 32, 2, 128, 128, 200000, 2:887876272, 768, 32
LOOKUP, 32, 2, 128, 128, 200000, 0:177099856, 768, 32
INSERT, 32, 2, 128, 256, 200000, 26:14916205, 27839, 32
LOOKUP, 32, 2, 128, 256, 200000, 0:179642659, 27839, 32
INSERT, 32, 2, 128, 512, 200000, 26:184981420, 27813, 32
LOOKUP, 32, 2, 128, 512, 200000, 0:182312140, 27813, 32
INSERT, 32, 2, 256, 8, 200000, 5:681439655, 11484, 17
LOOKUP, 32, 2, 256, 8, 200000, 0:170656758, 11484, 17
INSERT, 32, 2, 256, 16, 200000, 3:776942598, 6143, 9
LOOKUP, 32, 2, 256, 16, 200000, 0:163458770, 6143, 9
INSERT, 32, 2, 256, 32, 200000, 2:927037095, 3072, 14
LOOKUP, 32, 2, 256, 32, 200000, 0:162932127, 3072, 14
INSERT, 32, 2, 256, 64, 200000, 2:553973235, 1352, 6
LOOKUP, 32, 2, 256, 64, 200000, 0:180178264, 1352, 6
INSERT, 32, 2, 256, 128, 200000, 2:695115377, 768, 4
LOOKUP, 32, 2, 256, 128, 200000, 0:178080734, 768, 4
INSERT, 32, 2, 256, 256, 200000, 12:73470111, 28629, 26
LOOKUP, 32, 2, 256, 256, 200000, 0:179494662, 28629, 26
INSERT, 32, 2, 256, 512, 200000, 12:272517485, 28731, 32
LOOKUP, 32, 2, 256, 512, 200000, 0:169463928, 28731, 32
INSERT, 32, 2, 512, 8, 200000, 3:556953652, 11907, 17
LOOKUP, 32, 2, 512, 8, 200000, 0:162424615, 11907, 17
INSERT, 32, 2, 512, 16, 200000, 2:706368837, 5632, 32
LOOKUP, 32, 2, 512, 16, 200000, 0:153799752, 5632, 32
INSERT, 32, 2, 512, 32, 200000, 2:373105561, 3814, 6
LOOKUP, 32, 2, 512, 32, 200000, 0:169294781, 3814, 6
INSERT, 32, 2, 512, 64, 200000, 2:300281685, 1536, 5
LOOKUP, 32, 2, 512, 64, 200000, 0:168356094, 1536, 5
INSERT, 32, 2, 512, 128, 200000, 2:719590018, 741, 6
LOOKUP, 32, 2, 512, 128, 200000, 0:477608709, 741, 6
INSERT, 32, 2, 512, 256, 200000, 6:430460011, 27407, 23
LOOKUP, 32, 2, 512, 256, 200000, 0:171087174, 27407, 23
INSERT, 32, 2, 512, 512, 200000, 6:480928731, 29661, 32
LOOKUP, 32, 2, 512, 512, 200000, 0:186531517, 29661, 32
INSERT, 32, 4, 8, 8, 200000, 156:875113380, 6040, 32
LOOKUP, 32, 4, 8, 8, 200000, 0:194437973, 6040, 32
INSERT, 32, 4, 8, 16, 200000, 81:230431255, 3057, 22
LOOKUP, 32, 4, 8, 16, 200000, 0:188930617, 3057, 22
INSERT, 32, 4, 8, 32, 200000, 43:590890145, 1547, 15
LOOKUP, 32, 4, 8, 32, 200000, 0:180127307, 1547, 15
INSERT, 32, 4, 8, 64, 200000, 24:386850598, 772, 6
LOOKUP, 32, 4, 8, 64, 200000, 0:180145164, 772, 6
INSERT, 32, 4, 8, 128, 200000, 13:836219817, 389, 5
LOOKUP, 32, 4, 8, 128, 200000, 0:190503990, 389, 5
INSERT, 32, 4, 8, 256, 200000, 382:950033907, 16122, 32
LOOKUP, 32, 4, 8, 256, 200000, 0:189860120, 16122, 32
INSERT, 32, 4, 8, 512, 200000, 390:690174666, 16222, 23
LOOKUP, 32, 4, 8, 512, 200000, 0:190201089, 16222, 23
INSERT, 32, 4, 16, 8, 200000, 85:110893781, 6736, 32
LOOKUP, 32, 4, 16, 8, 200000, 0:212696484, 6736, 32
INSERT, 32, 4, 16, 16, 200000, 42:859904805, 3229, 32
LOOKUP, 32, 4, 16, 16, 200000, 0:208462848, 3229, 32
INSERT, 32, 4, 16, 32, 200000, 22:828112384, 1593, 9
LOOKUP, 32, 4, 16, 32, 200000, 0:202225128, 1593, 9
INSERT, 32, 4, 16, 64, 200000, 12:609724399, 793, 16
LOOKUP, 32, 4, 16, 64, 200000, 0:208734007, 793, 16
INSERT, 32, 4, 16, 128, 200000, 7:295901098, 385, 9
LOOKUP, 32, 4, 16, 128, 200000, 0:205312278, 385, 9
INSERT, 32, 4, 16, 256, 200000, 193:751594938, 16774, 32
LOOKUP, 32, 4, 16, 256, 200000, 0:195852677, 16774, 32
INSERT, 32, 4, 16, 512, 200000, 194:469861510, 16704, 32
LOOKUP, 32, 4, 16, 512, 200000, 0:202615609, 16704, 32
INSERT, 32, 4, 32, 8, 200000, 38:935956198, 6935, 32
LOOKUP, 32, 4, 32, 8, 200000, 0:213805943, 6935, 32
INSERT, 32, 4, 32, 16, 200000, 20:386527388, 3417, 32
LOOKUP, 32, 4, 32, 16, 200000, 0:222678925, 3417, 32
INSERT, 32, 4, 32, 32, 200000, 10:660275382, 1642, 32
LOOKUP, 32, 4, 32, 32, 200000, 0:206523201, 1642, 32
INSERT, 32, 4, 32, 64, 200000, 6:286205540, 826, 17
LOOKUP, 32, 4, 32, 64, 200000, 0:200443012, 826, 17
INSERT, 32, 4, 32, 128, 200000, 4:317835398, 384, 16
LOOKUP, 32, 4, 32, 128, 200000, 0:208051454, 384, 16
INSERT, 32, 4, 32, 256, 200000, 87:289698718, 16322, 32
LOOKUP, 32, 4, 32, 256, 200000, 0:218119410, 16322, 32
INSERT, 32, 4, 32, 512, 200000, 88:445669185, 16740, 32
LOOKUP, 32, 4, 32, 512, 200000, 0:197983046, 16740, 32
INSERT, 32, 4, 64, 8, 200000, 15:979704440, 6567, 32
LOOKUP, 32, 4, 64, 8, 200000, 0:210740594, 6567, 32
INSERT, 32, 4, 64, 16, 200000, 9:166083494, 3443, 32
LOOKUP, 32, 4, 64, 16, 200000, 0:211879529, 3443, 32
INSERT, 32, 4, 64, 32, 200000, 5:497104546, 1726, 32
LOOKUP, 32, 4, 64, 32, 200000, 0:221618523, 1726, 32
INSERT, 32, 4, 64, 64, 200000, 3:756867342, 832, 32
LOOKUP, 32, 4, 64, 64, 200000, 0:208768714, 832, 32
INSERT, 32, 4, 64, 128, 200000, 3:114624538, 384, 31
LOOKUP, 32, 4, 64, 128, 200000, 0:248457976, 384, 31
INSERT, 32, 4, 64, 256, 200000, 37:916499250, 16118, 32
LOOKUP, 32, 4, 64, 256, 200000, 0:207555418, 16118, 32
INSERT, 32, 4, 64, 512, 200000, 38:85061357, 16271, 32
LOOKUP, 32, 4, 64, 512, 200000, 0:225378742, 16271, 32
INSERT, 32, 4, 128, 8, 200000, 7:693003194, 6708, 32
LOOKUP, 32, 4, 128, 8, 200000, 0:208133203, 6708, 32
INSERT, 32, 4, 128, 16, 200000, 4:989997762, 3302, 32
LOOKUP, 32, 4, 128, 16, 200000, 0:212022309, 3302, 32
INSERT, 32, 4, 128, 32, 200000, 3:476093739, 1663, 10
LOOKUP, 32, 4, 128, 32, 200000, 0:206555923, 1663, 10
INSERT, 32, 4, 128, 64, 200000, 2:760720838, 768, 27
LOOKUP, 32, 4, 128, 64, 200000, 0:220614102, 768, 27
INSERT, 32, 4, 128, 128, 200000, 2:772228556, 329, 22
LOOKUP, 32, 4, 128, 128, 200000, 0:275059440, 329, 22
INSERT, 32, 4, 128, 256, 200000, 16:835785409, 15573, 32
LOOKUP, 32, 4, 128, 256, 200000, 0:215565554, 15573, 32
INSERT, 32, 4, 128, 512, 200000, 16:832710013, 15500, 32
LOOKUP, 32, 4, 128, 512, 200000, 0:214876739, 15500, 32
INSERT, 32, 4, 256, 8, 200000, 4:684633962, 6806, 32
LOOKUP, 32, 4, 256, 8, 200000, 0:209539372, 6806, 32
INSERT, 32, 4, 256, 16, 200000, 3:250317765, 4382, 27
LOOKUP, 32, 4, 256, 16, 200000, 0:201559004, 4382, 27
INSERT, 32, 4, 256, 32, 200000, 2:542348174, 1537, 27
LOOKUP, 32, 4, 256, 32, 200000, 0:204098480, 1537, 27
INSERT, 32, 4, 256, 64, 200000, 2:517804129, 978, 13
LOOKUP, 32, 4, 256, 64, 200000, 0:215143581, 978, 13
INSERT, 32, 4, 256, 128, 200000, 2:497595629, 256, 8
LOOKUP, 32, 4, 256, 128, 200000, 0:657820772, 256, 8
INSERT, 32, 4, 256, 256, 200000, 9:132391623, 17233, 32
LOOKUP, 32, 4, 256, 256, 200000, 0:189648738, 17233, 32
INSERT, 32, 4, 256, 512, 200000, 9:981126148, 18256, 32
LOOKUP, 32, 4, 256, 512, 200000, 0:194014458, 18256, 32
INSERT, 32, 4, 512, 8, 200000, 2:962014197, 7995, 32
LOOKUP, 32, 4, 512, 8, 200000, 0:194480490, 7995, 32
INSERT, 32, 4, 512, 16, 200000, 2:263666938, 3052, 32
LOOKUP, 32, 4, 512, 16, 200000, 0:196418323, 3052, 32
INSERT, 32, 4, 512, 32, 200000, 2:202963345, 2323, 23
LOOKUP, 32, 4, 512, 32, 200000, 0:227051611, 2323, 23
INSERT, 32, 4, 512, 64, 200000, 2:307366611, 765, 10
LOOKUP, 32, 4, 512, 64, 200000, 0:306089067, 765, 10
INSERT, 32, 4, 512, 128, 200000, 2:739030341, 507, 6
LOOKUP, 32, 4, 512, 128, 200000, 0:255113414, 507, 6
INSERT, 32, 4, 512, 256, 200000, 5:468264480, 19091, 32
LOOKUP, 32, 4, 512, 256, 200000, 0:199421509, 19091, 32
INSERT, 32, 4, 512, 512, 200000, 4:466726623, 16253, 32
LOOKUP, 32, 4, 512, 512, 200000, 0:202236455, 16253, 32
INSERT, 32, 8, 8, 8, 200000, 122:756022306, 3071, 32
LOOKUP, 32, 8, 8, 8, 200000, 0:208034723, 3071, 32
INSERT, 32, 8, 8, 16, 200000, 67:272595670, 1553, 19
LOOKUP, 32, 8, 8, 16, 200000, 0:206107921, 1553, 19
INSERT, 32, 8, 8, 32, 200000, 37:256725162, 771, 14
LOOKUP, 32, 8, 8, 32, 200000, 0:211969241, 771, 14
INSERT, 32, 8, 8, 64, 200000, 21:22891028, 380, 5
LOOKUP, 32, 8, 8, 64, 200000, 0:205857533, 380, 5
INSERT, 32, 8, 8, 128, 200000, 12:313859513, 191, 5
LOOKUP, 32, 8, 8, 128, 200000, 0:208275458, 191, 5
INSERT, 32, 8, 8, 256, 200000, 322:656787424, 9252, 32
LOOKUP, 32, 8, 8, 256, 200000, 0:215317848, 9252, 32
INSERT, 32, 8, 8, 512, 200000, 307:250706067, 8506, 32
LOOKUP, 32, 8, 8, 512, 200000, 0:181275905, 8506, 32
INSERT, 32, 8, 16, 8, 200000, 60:599142532, 3416, 32
LOOKUP, 32, 8, 16, 8, 200000, 0:201037825, 3416, 32
INSERT, 32, 8, 16, 16, 200000, 34:341583223, 1711, 20
LOOKUP, 32, 8, 16, 16, 200000, 0:225627871, 1711, 20
INSERT, 32, 8, 16, 32, 200000, 15:986807591, 784, 26
LOOKUP, 32, 8, 16, 32, 200000, 0:211464815, 784, 26
INSERT, 32, 8, 16, 64, 200000, 8:930172716, 399, 9
LOOKUP, 32, 8, 16, 64, 200000, 0:214325625, 399, 9
INSERT, 32, 8, 16, 128, 200000, 6:62317366, 192, 6
LOOKUP, 32, 8, 16, 128, 200000, 0:225899318, 192, 6
INSERT, 32, 8, 16, 256, 200000, 153:64163720, 10165, 32
LOOKUP, 32, 8, 16, 256, 200000, 0:204942710, 10165, 32
INSERT, 32, 8, 16, 512, 200000, 156:247331610, 10374, 32
LOOKUP, 32, 8, 16, 512, 200000, 0:214095628, 10374, 32
INSERT, 32, 8, 32, 8, 200000, 24:347918503, 3492, 32
LOOKUP, 32, 8, 32, 8, 200000, 0:227773500, 3492, 32
INSERT, 32, 8, 32, 16, 200000, 13:616341293, 1746, 17
LOOKUP, 32, 8, 32, 16, 200000, 0:239436361, 1746, 17
INSERT, 32, 8, 32, 32, 200000, 7:789926773, 813, 11
LOOKUP, 32, 8, 32, 32, 200000, 0:231535855, 813, 11
INSERT, 32, 8, 32, 64, 200000, 4:31607739, 384, 16
LOOKUP, 32, 8, 32, 64, 200000, 0:243490165, 384, 16
INSERT, 32, 8, 32, 128, 200000, 3:533057232, 192, 9
LOOKUP, 32, 8, 32, 128, 200000, 0:248683015, 192, 9
INSERT, 32, 8, 32, 256, 200000, 66:137914623, 10735, 32
LOOKUP, 32, 8, 32, 256, 200000, 0:217312687, 10735, 32
INSERT, 32, 8, 32, 512, 200000, 64:528192864, 10524, 32
LOOKUP, 32, 8, 32, 512, 200000, 0:214977202, 10524, 32
INSERT, 32, 8, 64, 8, 200000, 10:439729280, 3663, 32
LOOKUP, 32, 8, 64, 8, 200000, 0:226206803, 3663, 32
INSERT, 32, 8, 64, 16, 200000, 5:877248153, 1781, 22
LOOKUP, 32, 8, 64, 16, 200000, 0:218395078, 1781, 22
INSERT, 32, 8, 64, 32, 200000, 3:968135687, 819, 25
LOOKUP, 32, 8, 64, 32, 200000, 0:228434824, 819, 25
INSERT, 32, 8, 64, 64, 200000, 2:853917925, 384, 8
LOOKUP, 32, 8, 64, 64, 200000, 0:249847064, 384, 8
INSERT, 32, 8, 64, 128, 200000, 2:789236006, 179, 8
LOOKUP, 32, 8, 64, 128, 200000, 0:270210454, 179, 8
INSERT, 32, 8, 64, 256, 200000, 26:660296041, 10499, 32
LOOKUP, 32, 8, 64, 256, 200000, 0:221147746, 10499, 32
INSERT, 32, 8, 64, 512, 200000, 27:568861639, 10645, 32
